epoch,lr,loss,iou,val_loss,val_iou
0,0.001,0.43592425458358997,0.6900533033242434,0.314919866732697,0.7793795971475402
1,0.001,0.417128147500934,0.6923216476628774,0.3220259026804967,0.7722323905460323
2,0.001,0.4207582130576625,0.6846207423190935,0.3636203813019083,0.7485297256619026
3,0.001,0.4148283338907993,0.688491149158684,0.36481016874313354,0.7630164985638691
4,0.001,0.4104263014865644,0.6956241003457799,0.4048452839922549,0.7532035251672957
5,0.001,0.42776677734924085,0.6661768385871741,0.8151357992371516,0.3075907965894277
6,0.001,0.42171173113765137,0.6819688883891214,0.30916008575638726,0.792294965205281
7,0.001,0.3935722266182755,0.6937327189109981,0.2848340255111011,0.7791947709391134
8,0.001,0.3824492295583089,0.7037469260662206,0.27049451888497195,0.7920915931386828
9,0.001,0.37806144988898077,0.712893065177786,0.2852330510296039,0.7891906157220254
10,0.001,0.3829497577566089,0.7033205267951754,0.3185024421606491,0.7688397009821937
11,0.001,0.3896318782459606,0.7027412024145098,0.5817191262743366,0.4821457362611026
12,0.001,0.3757740927465034,0.7153343107220145,0.3106774527635147,0.7651634252597102
13,0.001,0.3901602562629815,0.6930987861261121,0.28199233448327476,0.7892915863980605
14,0.001,0.3984944314667673,0.6895372573058661,0.36983819639504845,0.7405287865344743
15,0.001,0.38958883466142596,0.7046440444616623,0.30326524510312436,0.7875079201138504
16,0.001,0.3855852827881322,0.7077328445932097,0.3027674070934751,0.7865111549260971
17,0.001,0.401877123298067,0.6769728684714774,0.28816493856373115,0.7678380862100779
